sites_ID,Ref_number,Authors,Type,References,Voucher specimens
bor1050,96,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1051,97,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1051,98,Gomes Filho,Thesis,"Gomes Filho, Arlindo. 2003. A comunidade de borboletas frugivoras da reserva de Santa Genebra, Campinas, SP, com enfase na flutuação populacional de Anaea Ryphea (Cramer) (Nymphalidae : Charaxinae) e sua relação com as plantas hospedeiras. M. S. Thesis, Universidade Estadual de Campinas.","Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1051,99,Brown and Freitas,Article,"Brown, K.S. Jr & Freitas, A.V.L. 2003. Butterfly communities of urban forest fragments in Campinas, São Paulo, Brazil: structure, instability, environmental correlates, and conservation. Journal of Insect Conservation, 6, 217–231.","Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1052,100,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1052,101,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1053,102,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1053,103,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1054,104,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1054,105,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1055,106,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1056,107,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1056,108,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1057,109,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1057,110,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1058,111,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1059,112,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1059,113,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1060,114,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1061,115,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1061,116,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1062,117,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1062,118,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1063,119,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1064,120,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1064,121,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1065,122,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1065,123,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1066,124,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1067,125,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1067,126,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1068,127,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1068,128,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1069,129,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1069,130,Uehara-Prado,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1069,131,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1070,132,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1070,133,Uehara-Prado,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1070,134,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1071,135,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1071,136,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1072,137,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1073,138,Rosa,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1074,139,Rosa,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1075,140,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1075,141,Neves and Paluch,Article,"Neves, D. A., Paluch, M. 2016. Estrutura da comunidade de borboletas frugívoras na Mata Atlântica do litoral sul da Bahia (Brasil) (Lepidoptera: Nymphalidae). SHILAP Revista de Lepidopterologia 44(176): 593-606.","Laboratório de Sistemática e Conservação de Insetos, Setor de Ciências Biológicas, Universidade Federal do Recôncavo da Bahia, Cruz das Almas, BA."
bor1076,142,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1077,143,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1078,144,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1078,145,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1079,146,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1080,147,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1081,148,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1082,149,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1082,150,Paluch et al,Article,"Paluch, M., Mielke, O. H. H., Linhares, L. M., Silva, D. C. 2016. Butterflies (Lepidoptera: Papilionoidea and Hesperioidea) of the Private Reserve of Natural Heritage Fazenda Lontra/Saudade, Itanagra, Northern Coast of Bahia, Brazil. Biota Neotropica 16(1): e20140085.","Entomological collection, Universidade Federal do Reconcavo da Bahia, Cruz das Almas, Laboratorio de Sistematica e Conservacao de Insetos  and Colecao Entomologica Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1083,151,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1083,152,Cardoso,Article,"Cardoso, A. 1949. Lepidópteros de Alagoas. Revista de Entomologia 20: 427-436.",Personal collection
bor1084,153,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1084,154,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1084,155,Filgueiras,Thesis,"Filgueiras, B. K. C. 2015. Resposta dos besouros escarabeineos (Scarabaeidae) e borboletas frugivoras (Nymphalidae) a modificação de habitat na floresta atlantica nordestina. PhD Thesis, Universidade Federal de Pernambuco",Not informed
bor1085,156,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1086,157,Paluch et al,Article,"Paluch, M., Mielke, O. H. H., Nobre, C. E. B., Casagrande, M. M., Melo, D. H. A., Freitas, A. V. L. 2011. Butterflies (Lepidoptera: Papilionoidea and Hesperioidea) of the Parque Ecológico João Vasconcelos Sobrinho, Caruaru, Pernambuco, Brazil. Biota Neotropica 11(4): 229-238.","Entomological collection of  Universidade Federal de Pernambuco, Recife, Colecao Padre Jesus Santiago Moure, Universidade Federal do Parana"
bor1087,158,Melo,Thesis,"Melo, D. H. A. 2014. Efeito da fragmentação de habitat sobre borboletas frugivoras (Lepidoptera: Nymphalidae) na floresta atlantica nordestina. M. S. Thesis, Universidade Federal de Pernambuco","Entomological collection of  Universidade Federal de Pernambuco, Recife, Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1087,159,Freitas,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas, Freitas A. V. L. collection"
bor1088,160,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1089,161,Araujo,Thesis,"Araujo, P. F. 2016. Estruturação espaço-temporal, funcional e filogenetica de borboletas frugivoras em diferentes estratos verticais de uma Floresta Estacional Semidecidual. M. S. Thesis, Universidade Federal de Mato Grosso do Sul.",Colecao Cientifica do Laboratorio de Zoologia da Universidade Federal de Mato Grosso do Sul
bor1090,162,Biezanko,Article,"Biezanko, M. C. 1949. Acraeidae, Heliconiidae et Nymphalidae de Pelotas e seus arredores (Contribuição ao conhecimento da fisiografia do Rio Grande do Sul). Pelotas, Livraria Globo. 16 pp.",NA
bor1091,163,Beirao,Thesis,"Beirao, M. V. 2016. Distribuição espaço-temporal de borboletas frugívoras em ambientes tropicais sazonais. PhD Thesis, Universidade Federal de Minas Gerais.",Coleção da Universidade Federal de Minas Gerais
bor1092,164,Nunez-Bustos,Article,"Nunez-Bustos, E. O. 2008. Diversidad de Mariposas Diurnas em la Reserva Privada Yacutinga, Provincia Misiones, Argentina (Lepidoptera: Hesperioidea y Papilionoidea)",Coleccion entomologica de la Estacion Biologica de la Reserva Privada Yacutinga
bor1093,165,Nunez-Bustos,Article,"Nunez-Bustos, E. O. 2009. Mariposas diurnas (Lepidoptera: Papilionoidea y Hesperioidea) del Parque Nacional Iguazu, Provincia de Misiones, Argentina. Tropical Lepidoptera Research, 19(2): 71-81.",NA
bor1094,166,Nunez-Bustos et al,Article,"Nunez-Bustos, E. O., Favre, P., Bertolini, M. P.,  Turner, J. D., Sourakov, A. 2011. Mariposas diurnas (Lepidoptera: Papilionoidea y Hesperioidea) de la Reserva Privada Osununu-Parque Provincial Teyu Cuare y alrededores de Sna Ignacio, Provincia de Misiones, Argentina. Tropical Lepidoptera Research 21(1): 34-42.",NA
bor1095,167,Mielke et al,Article,"Mielke, O. H. H., Casagrande, M. M., Dolibaina, D. R., Carneiro, E., Dias, F. M. S., Leite, L. A. R. 2011. Borboletas (Lepidoptera: Hesperioidea e Papilionoidea) de Jaguariaiva, Parana, Brasil: Inventario em um enclave de cerrado meridional. Coletânea de Pesquisa do Parque Estadual de Vila Velha, Cerrado e Guartelá. pp 295-308.",NA
bor1096,168,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1097,169,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1098,170,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1098,171,Pereira et al,Article,"Pereira, G. C.N., Coelho, M. S., Beirao, M. V., Braga, R. F., Fernandes, G. W. 2017. Diversity of fruit-feeding butterflies in a mountaintop archipelago of rainforest. Plos One 12(6): e0180007",NA
bor1099,172,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1099,173,Silva et al,Article,"Silva, A. R. M., Pontes, D. V., Guimaraes, M. P., Oliveira, M. V., Assis, L. T. F., Uehara-Prado, M. 2015. Fruit-feeding butterflies (Lepidoptera: Nymphalidae) of the Area de Protecao Especial Manancial Mutuca, Nova Lima and Species list for the region of Belo Horizonte, Minas Gerais, Brazil. Biota Neotropica 15(3): e20140118.","Laboratorio de Zoologia, Centro Universitario UNA, Belo Horizonte"
bor1100,174,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1101,175,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1102,176,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1102,177,Ribeiro et al,Unpublished data,"Ribeiro, D. B., Iserhard, C. A., Barbosa, E. P., Santos, J. P., Brown, K. S., Freitas, A. V. L. 2012.  Inventario das borboletas da Estacao Ecologica de Jatai, Sao Paulo.","Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1103,178,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1104,179,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1105,180,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1106,181,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1107,182,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1108,183,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1109,184,Pedrotti et al,Article,"Pedrotti, V. S., Barros, M. P., Romanowski, H. P., Iserhard, C. A. 2011. Borboletas frugivoras (Lepidoptera: Nymphalidae) ocorrentes em um fragmento de Floresta Ombrofila Mista no Rio Grande do Sul, Brasil. Biota Neotropica 11(1): 385-390.",Coleção de Referência de Lepidoptera do Departamento de Zoologia da Universidade Federal do Rio Grande do Sul
bor1110,185,Iserhard,Unpublished data,Personal database,Not informed
bor1111,186,Gawlinski,Unpublished data,Personal database,Not informed
bor1112,187,Iserhard,Unpublished data,Personal database,Not informed
bor1112,188,Bellaver et al,Article,"Bellaver, J., Iserhard, C. A., Santos, J. P., Silva, A. K., Torres, M., Siewert, R. R., Moser, A., Romanowski, H. P. 2012. Borboletas (Lepidoptera: Papilionoidea e Hesperioidea) de Matas Paludosas e Matas de Restinga da Planicie Costeira da regiao sul do Brasil. Biota Neotropica 12(4): 181-190.",NA
bor1113,189,Uehara-Prado,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1114,190,Romanowski et al,Unpublished data,BorbRS database,"Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1114,191,Moser,Unpublished data,Personal database,Alfred Moser Lepidoptera Collection (CLAM)
bor1115,192,Romanowski et al,Unpublished data,BorbRS database,"Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1115,193,Schantz,Thesis,"Schantz, A. A. 2000. Levantamento da Diversidade de Borboletas (Lepidoptera; Rhopalocera), no Parque Estadual do Turvo, RS e no Parque Estadual de Itapuã, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1115,194,Teixeira,Thesis,"Teixeira, E. C. 2003. A diversidade de borboletas (Lepidoptera: Rhopalocera) como elemento de caracterização de diferentes ambientes do Parque Estadual de Itapuã, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1115,195,Marchiori,Thesis,"Marchiori, M. O. O. 2012. Composição e variação da assembléia de borboletas (Lepidoptera: Papilionoidea, Hesperioidea) ao longo do dia em matas de restinga e matas de araucária, Rio Grande do Sul, Brasil.","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1115,196,Fucilini,Thesis,"Fucilini, L. L. 2014. Avaliação do Efeito de Diferentes Iscas na Captura de Borboletas Frugívoras e Diversidade da Assembleia de Borboletas Frugívoras do Parque Estadual de Itapuã, Viamão, Rio Grande do Sul, Brasil. M. S. Thesis, Universidade Federal do Rio Grande do Sul","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1115,197,Brown,Unpublished data,Personal database,"Museu de Zoologia Adao Jose Cardoso, Universidade Estadual de Campinas"
bor1116,198,Zikan,Unpublished data,Personal database,Not informed
bor1117,199,Moser,Unpublished data,Personal database,Alfred Moser Lepidoptera Collection (CLAM)
bor1118,200,Romanowski et al,Unpublished data,BorbRS database,"Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1118,201,Camargo,Thesis,"Camargo F. 2006. Avaliação da fauna de borboletas de seis áreas verdes de Porto Alegre, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1118,202,Castro,Thesis,"Castro, D. 2008. Diversidade de borboletas (LEPIDOPTERA PAPILIONOIDEA E HESPERIOIDEA) em três morros graníticos de Porto Alegre, RS. M. S. Thesis, Universidade Federal do Rio Grande do Sul","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1118,203,Teixeira,Monograph (TCC),"Teixeira, M. O. 2005. Diversidade de Borboletas em duas áreas da Reserva Biológica do Lami, Porto Alegre, RS. Trabalho de conclusao de curso, Universidade Federal do Rio Grande do Sul","Coleção de Lepidoptera do Departamento de Zoologia, Universidade Federal do Rio Grande do Sul"
bor1119,204,Zacca et al,Article,"Zacca, T., Bravo, F., Araujo, M. X.  2011. Butterflies (Lepidoptera: Papilionoidea and Herperioidea) from Serra da Jiboia, Bahia State, Brazil. EntomoBrasilis 4(3): 139-143.","Entomological Collection Prof. Johann Becker, Museu de Zoologia, Universidade Estadual de Feira de Santana"
bor1119,205,Paluch,Unpublished data,Personal database,"Entomological Collection Prof. Johann Becker, Museu de Zoologia, Universidade Estadual de Feira de Santana"
bor1120,206,Ebert,Article,"Ebert, H. 1969. On the frequency of butterflies in eastern Brazil, with a list of butterfly fauna of Poços de Caldas, Minas Gerais. J. Lepid. Soc. 23(suplem. 3):1-48.",Not informed
bor1120,207,Freitas,Unpublished data,Personal database,Personal collection
bor1121,208,Brito et al,Article,"Brito, M. M., Ribeiro, D. B., Raniero, M., Hasui, E., Ramos, F. N., Arab, A. 2014. Functional composition and phenology of fruit-feeding butterflies in a fragmented landscape: variation of seasonality between habitat specialists. Journal of Insect Conservation, 18(4): 547-560.",Entomology collection of Universidade Federal de Alfenas
bor1122,209,Paluch,Unpublished data,Personal database,Not informed
